title,text,subject,date,label
India Launches New Satellite,India successfully launched a communication satellite into orbit.,real,01-02-2026,1
Scientists Discover New Species,Marine scientists discovered a new species in the Pacific Ocean.,real,02-02-2026,1
Government Announces Education Policy,The government introduced a revised national education policy.,real,03-02-2026,1
Tech Company Releases AI Tool,A technology company released a new AI productivity tool.,real,04-02-2026,1
Researchers Develop New Vaccine,Researchers developed a vaccine after successful clinical trials.,real,05-02-2026,1
Farmers Receive Government Support #1,The government announced subsidies and financial support for farmers.,real,01-03-2026,1
Farmers Receive Government Support #2,The government announced subsidies and financial support for farmers.,real,02-03-2026,1
Farmers Receive Government Support #3,The government announced subsidies and financial support for farmers.,real,03-03-2026,1
Scientists Study Ocean Life #4,Marine researchers published new findings about underwater ecosystems.,real,04-03-2026,1
Healthcare Reform Introduced #5,The ministry announced new healthcare reforms to improve rural medical services.,real,05-03-2026,1
Cybersecurity Measures Improved #6,Experts introduced updated cybersecurity measures for online protection.,real,06-03-2026,1
New Smartphone Announced #7,A mobile company introduced a smartphone with improved camera features.,real,07-03-2026,1
Farmers Receive Government Support #8,The government announced subsidies and financial support for farmers.,real,08-03-2026,1
Climate Change Summit Held #9,World leaders discussed environmental protection and renewable energy plans.,real,09-03-2026,1
New Smartphone Announced #10,A mobile company introduced a smartphone with improved camera features.,real,10-03-2026,1
Sports Team Wins Championship #11,The national team secured victory after a close final match.,real,11-03-2026,1
Climate Change Summit Held #12,World leaders discussed environmental protection and renewable energy plans.,real,12-03-2026,1
New Electric Vehicle Released #13,An automobile company launched an affordable electric vehicle with advanced battery life.,real,13-03-2026,1
Healthcare Reform Introduced #14,The ministry announced new healthcare reforms to improve rural medical services.,real,14-03-2026,1
Space Mission Successful #15,Scientists confirmed the successful completion of a deep space mission.,real,15-03-2026,1
Climate Change Summit Held #16,World leaders discussed environmental protection and renewable energy plans.,real,16-03-2026,1
New Smartphone Announced #17,A mobile company introduced a smartphone with improved camera features.,real,17-03-2026,1
New Electric Vehicle Released #18,An automobile company launched an affordable electric vehicle with advanced battery life.,real,18-03-2026,1
Climate Change Summit Held #19,World leaders discussed environmental protection and renewable energy plans.,real,19-03-2026,1
Scientists Study Ocean Life #20,Marine researchers published new findings about underwater ecosystems.,real,20-03-2026,1
New Smartphone Announced #21,A mobile company introduced a smartphone with improved camera features.,real,21-03-2026,1
Farmers Receive Government Support #22,The government announced subsidies and financial support for farmers.,real,22-03-2026,1
Healthcare Reform Introduced #23,The ministry announced new healthcare reforms to improve rural medical services.,real,23-03-2026,1
Farmers Receive Government Support #24,The government announced subsidies and financial support for farmers.,real,24-03-2026,1
Space Mission Successful #25,Scientists confirmed the successful completion of a deep space mission.,real,25-03-2026,1
University Opens Research Center #26,A university inaugurated a new artificial intelligence research center.,real,26-03-2026,1
Healthcare Reform Introduced #27,The ministry announced new healthcare reforms to improve rural medical services.,real,27-03-2026,1
Scientists Study Ocean Life #28,Marine researchers published new findings about underwater ecosystems.,real,28-03-2026,1
New Smartphone Announced #29,A mobile company introduced a smartphone with improved camera features.,real,29-03-2026,1
Climate Change Summit Held #30,World leaders discussed environmental protection and renewable energy plans.,real,30-03-2026,1
New Electric Vehicle Released #31,An automobile company launched an affordable electric vehicle with advanced battery life.,real,31-03-2026,1
Climate Change Summit Held #32,World leaders discussed environmental protection and renewable energy plans.,real,01-04-2026,1
University Opens Research Center #33,A university inaugurated a new artificial intelligence research center.,real,02-04-2026,1
Cybersecurity Measures Improved #34,Experts introduced updated cybersecurity measures for online protection.,real,03-04-2026,1
Sports Team Wins Championship #35,The national team secured victory after a close final match.,real,04-04-2026,1
Farmers Receive Government Support #36,The government announced subsidies and financial support for farmers.,real,05-04-2026,1
Climate Change Summit Held #37,World leaders discussed environmental protection and renewable energy plans.,real,06-04-2026,1
Scientists Study Ocean Life #38,Marine researchers published new findings about underwater ecosystems.,real,07-04-2026,1
Healthcare Reform Introduced #39,The ministry announced new healthcare reforms to improve rural medical services.,real,08-04-2026,1
Space Mission Successful #40,Scientists confirmed the successful completion of a deep space mission.,real,09-04-2026,1
Scientists Study Ocean Life #41,Marine researchers published new findings about underwater ecosystems.,real,10-04-2026,1
Farmers Receive Government Support #42,The government announced subsidies and financial support for farmers.,real,11-04-2026,1
New Electric Vehicle Released #43,An automobile company launched an affordable electric vehicle with advanced battery life.,real,12-04-2026,1
University Opens Research Center #44,A university inaugurated a new artificial intelligence research center.,real,13-04-2026,1
Scientists Study Ocean Life #45,Marine researchers published new findings about underwater ecosystems.,real,14-04-2026,1
Space Mission Successful #46,Scientists confirmed the successful completion of a deep space mission.,real,15-04-2026,1
University Opens Research Center #47,A university inaugurated a new artificial intelligence research center.,real,16-04-2026,1
Space Mission Successful #48,Scientists confirmed the successful completion of a deep space mission.,real,17-04-2026,1
New Smartphone Announced #49,A mobile company introduced a smartphone with improved camera features.,real,18-04-2026,1
New Electric Vehicle Released #50,An automobile company launched an affordable electric vehicle with advanced battery life.,real,19-04-2026,1
New Smartphone Announced #51,A mobile company introduced a smartphone with improved camera features.,real,20-04-2026,1
Farmers Receive Government Support #52,The government announced subsidies and financial support for farmers.,real,21-04-2026,1
University Opens Research Center #53,A university inaugurated a new artificial intelligence research center.,real,22-04-2026,1
New Smartphone Announced #54,A mobile company introduced a smartphone with improved camera features.,real,23-04-2026,1
New Smartphone Announced #55,A mobile company introduced a smartphone with improved camera features.,real,24-04-2026,1
University Opens Research Center #56,A university inaugurated a new artificial intelligence research center.,real,25-04-2026,1
Scientists Study Ocean Life #57,Marine researchers published new findings about underwater ecosystems.,real,26-04-2026,1
Farmers Receive Government Support #58,The government announced subsidies and financial support for farmers.,real,27-04-2026,1
Sports Team Wins Championship #59,The national team secured victory after a close final match.,real,28-04-2026,1
Climate Change Summit Held #60,World leaders discussed environmental protection and renewable energy plans.,real,29-04-2026,1
Climate Change Summit Held #61,World leaders discussed environmental protection and renewable energy plans.,real,30-04-2026,1
Farmers Receive Government Support #62,The government announced subsidies and financial support for farmers.,real,01-05-2026,1
New Smartphone Announced #63,A mobile company introduced a smartphone with improved camera features.,real,02-05-2026,1
New Smartphone Announced #64,A mobile company introduced a smartphone with improved camera features.,real,03-05-2026,1
Farmers Receive Government Support #65,The government announced subsidies and financial support for farmers.,real,04-05-2026,1
Farmers Receive Government Support #66,The government announced subsidies and financial support for farmers.,real,05-05-2026,1
Farmers Receive Government Support #67,The government announced subsidies and financial support for farmers.,real,06-05-2026,1
University Opens Research Center #68,A university inaugurated a new artificial intelligence research center.,real,07-05-2026,1
New Smartphone Announced #69,A mobile company introduced a smartphone with improved camera features.,real,08-05-2026,1
University Opens Research Center #70,A university inaugurated a new artificial intelligence research center.,real,09-05-2026,1
Cybersecurity Measures Improved #71,Experts introduced updated cybersecurity measures for online protection.,real,10-05-2026,1
Farmers Receive Government Support #72,The government announced subsidies and financial support for farmers.,real,11-05-2026,1
Sports Team Wins Championship #73,The national team secured victory after a close final match.,real,12-05-2026,1
Climate Change Summit Held #74,World leaders discussed environmental protection and renewable energy plans.,real,13-05-2026,1
Sports Team Wins Championship #75,The national team secured victory after a close final match.,real,14-05-2026,1
Space Mission Successful #76,Scientists confirmed the successful completion of a deep space mission.,real,15-05-2026,1
Healthcare Reform Introduced #77,The ministry announced new healthcare reforms to improve rural medical services.,real,16-05-2026,1
Sports Team Wins Championship #78,The national team secured victory after a close final match.,real,17-05-2026,1
New Electric Vehicle Released #79,An automobile company launched an affordable electric vehicle with advanced battery life.,real,18-05-2026,1
Farmers Receive Government Support #80,The government announced subsidies and financial support for farmers.,real,19-05-2026,1
Healthcare Reform Introduced #81,The ministry announced new healthcare reforms to improve rural medical services.,real,20-05-2026,1
Farmers Receive Government Support #82,The government announced subsidies and financial support for farmers.,real,21-05-2026,1
Space Mission Successful #83,Scientists confirmed the successful completion of a deep space mission.,real,22-05-2026,1
Farmers Receive Government Support #84,The government announced subsidies and financial support for farmers.,real,23-05-2026,1
New Smartphone Announced #85,A mobile company introduced a smartphone with improved camera features.,real,24-05-2026,1
New Smartphone Announced #86,A mobile company introduced a smartphone with improved camera features.,real,25-05-2026,1
Healthcare Reform Introduced #87,The ministry announced new healthcare reforms to improve rural medical services.,real,26-05-2026,1
Scientists Study Ocean Life #88,Marine researchers published new findings about underwater ecosystems.,real,27-05-2026,1
Climate Change Summit Held #89,World leaders discussed environmental protection and renewable energy plans.,real,28-05-2026,1
Sports Team Wins Championship #90,The national team secured victory after a close final match.,real,29-05-2026,1
University Opens Research Center #91,A university inaugurated a new artificial intelligence research center.,real,30-05-2026,1
University Opens Research Center #92,A university inaugurated a new artificial intelligence research center.,real,31-05-2026,1
Sports Team Wins Championship #93,The national team secured victory after a close final match.,real,01-06-2026,1
